city,regime,units,policy,config,total_loss,pct_reduction_vs_uniform,final_carryover,served_fraction_other
sf,scarce,26,greedy_ev_point,local/internal/naive_trailing7,31500357.0,45.175,245167.0,1.0
sf,scarce,26,proportional,local/internal/seasonal_naive7,29486121.0,48.68,231146.0,0.644
sf,scarce,26,greedy_ev_point,local/internal/seasonal_naive7,31199838.0,45.698,243984.0,1.0
sf,scarce,26,proportional,local/internal/ridge,29492173.0,48.67,231168.0,0.644
sf,scarce,26,greedy_ev_point,local/internal/ridge,30733098.0,46.51,240299.0,1.0
sf,scarce,26,proportional,local/internal/random_forest,29492173.0,48.67,231168.0,0.644
sf,scarce,26,greedy_ev_point,local/internal/random_forest,30488876.0,46.935,238649.0,1.0
sf,scarce,26,proportional,local/internal/lgbm_point,29492173.0,48.67,231168.0,0.643
sf,scarce,26,greedy_ev_point,local/internal/lgbm_point,30451064.0,47.001,238347.0,1.0
sf,scarce,26,proportional,local/calendar/random_forest,29493265.0,48.668,231172.0,0.644
sf,scarce,26,greedy_ev_point,local/calendar/random_forest,30505133.0,46.907,238563.0,1.0
sf,scarce,26,proportional,local/calendar/lgbm_point,29492173.0,48.67,231168.0,0.644
sf,scarce,26,greedy_ev_point,local/calendar/lgbm_point,30364755.0,47.151,237515.0,1.0
sf,scarce,26,proportional,local/calendar_weather/ridge,29492173.0,48.67,231168.0,0.643
sf,scarce,26,greedy_ev_point,local/calendar_weather/ridge,30729185.0,46.517,240322.0,1.0
sf,scarce,26,proportional,local/calendar_weather/random_forest,29492173.0,48.67,231168.0,0.643
sf,scarce,26,greedy_ev_point,local/calendar_weather/random_forest,30494160.0,46.926,238474.0,1.0
sf,scarce,26,proportional,local/calendar_weather/lgbm_point,29486121.0,48.68,231146.0,0.644
sf,scarce,26,greedy_ev_point,local/calendar_weather/lgbm_point,30410631.0,47.071,237665.0,1.0
sf,scarce,26,proportional,global/calendar_weather/lgbm_point,29492447.0,48.669,231169.0,0.643
sf,scarce,26,greedy_ev_point,global/calendar_weather/lgbm_point,30255010.0,47.342,236773.0,1.0
sf,scarce,26,greedy_ev_point,quantile/median_arm,30337378.0,47.199,237083.0,1.0
sf,scarce,26,greedy_ev_point,quantile/implied_mean_arm,30375874.0,47.132,237480.0,1.0
sf,scarce,26,greedy_ev_quantile,quantile/full_arm,29644860.0,48.404,231937.0,1.0
sf,moderate,33,uniform,uniform,53355269.0,0.0,405085.0,1.0
sf,moderate,33,proportional,local/internal/naive_trailing7,16218711.0,69.602,134951.0,0.773
sf,moderate,33,greedy_ev_point,local/internal/naive_trailing7,18217857.0,65.856,148917.0,1.0
sf,moderate,33,proportional,local/internal/seasonal_naive7,16212021.0,69.615,134927.0,0.775
sf,moderate,33,greedy_ev_point,local/internal/seasonal_naive7,17917338.0,66.419,147734.0,1.0
sf,moderate,33,proportional,local/internal/ridge,16214548.0,69.61,134936.0,0.773
sf,moderate,33,greedy_ev_point,local/internal/ridge,17450598.0,67.294,144049.0,1.0
sf,moderate,33,proportional,local/internal/random_forest,16214879.0,69.61,134937.0,0.775
sf,moderate,33,greedy_ev_point,local/internal/random_forest,17206376.0,67.751,142399.0,1.0
sf,moderate,33,proportional,local/internal/lgbm_point,16208781.0,69.621,134915.0,0.775
sf,moderate,33,greedy_ev_point,local/internal/lgbm_point,17168564.0,67.822,142097.0,1.0
sf,moderate,33,proportional,local/calendar/random_forest,16214879.0,69.61,134937.0,0.775
sf,moderate,33,greedy_ev_point,local/calendar/random_forest,17222633.0,67.721,142313.0,1.0
