city,regime,crews,policy,config,total_unmet_weighted,total_unmet_raw,final_backlog,unmet_by_family
chicago,scarce,31,proportional,local/calendar_weather/random_forest,63998656.0,33340083.0,182168.0,"[4375202.0, 2321575.0, 3504203.0, 4749366.0, 27398638.0, 16966234.0, 4683438.0]"
chicago,scarce,31,greedy_ev_point,local/calendar_weather/random_forest,54837244.0,35625785.0,198971.0,"[21426.0, 6246675.0, 10187903.0, 35772.0, 1668250.0, 36652234.0, 24984.0]"
chicago,scarce,31,proportional,local/calendar_weather/lgbm_point,64023256.0,33340083.0,182168.0,"[4375102.0, 2322575.0, 3499853.0, 4797816.0, 27379138.0, 16950034.0, 4698738.0]"
chicago,scarce,31,greedy_ev_point,local/calendar_weather/lgbm_point,53244864.0,34827502.0,192936.0,"[21980.0, 6246675.0, 10187903.0, 43743.0, 1470758.0, 35244234.0, 29571.0]"
chicago,scarce,31,proportional,global/calendar_weather/lgbm_point,64030906.0,33340083.0,182168.0,"[4397902.0, 2312675.0, 3501653.0, 4799166.0, 27373438.0, 16950034.0, 4696038.0]"
chicago,scarce,31,greedy_ev_point,global/calendar_weather/lgbm_point,53096992.0,34753787.0,193021.0,"[21978.0, 6246675.0, 10187903.0, 43146.0, 1427914.0, 35140534.0, 28842.0]"
chicago,moderate,40,uniform,uniform,78941818.0,39512277.0,250951.0,"[438.0, 0.0, 172779.0, 244056.0, 51452638.0, 27045834.0, 26073.0]"
chicago,moderate,40,oracle,oracle,18843379.0,16468950.0,61801.0,"[13070.0, 3958725.0, 10142203.0, 9735.0, 241108.0, 4469052.0, 9486.0]"
chicago,moderate,40,greedy_ev_quantile,local/calendar_weather/lgbm_quantile,20246378.0,17447030.0,70456.0,"[30804.0, 4480025.0, 10187903.0, 37920.0, 365642.0, 5121266.0, 22818.0]"
chicago,moderate,40,proportional,local/internal/naive_trailing7,31037660.0,16143351.0,57986.0,"[2111802.0, 1083425.0, 1668853.0, 2231070.0, 13216738.0, 8447134.0, 2278638.0]"
chicago,moderate,40,greedy_ev_point,local/internal/naive_trailing7,30839084.0,23621766.0,107027.0,"[25424.0, 6240075.0, 10187903.0, 37680.0, 521168.0, 13793924.0, 32910.0]"
chicago,moderate,40,proportional,local/internal/seasonal_naive7,31172210.0,16205451.0,58211.0,"[2127602.0, 1078725.0, 1670003.0, 2207670.0, 13265738.0, 8500034.0, 2322438.0]"
chicago,moderate,40,greedy_ev_point,local/internal/seasonal_naive7,27131112.0,21606534.0,95076.0,"[21194.0, 5920025.0, 10187903.0, 46125.0, 528040.0, 10396034.0, 31791.0]"
chicago,moderate,40,proportional,local/internal/ridge,31068210.0,16150251.0,58011.0,"[2114302.0, 1082525.0, 1661903.0, 2225070.0, 13217138.0, 8455934.0, 2311338.0]"
chicago,moderate,40,greedy_ev_point,local/internal/ridge,24742964.0,20298476.0,90328.0,"[18524.0, 5687425.0, 10187903.0, 37602.0, 411142.0, 8373950.0, 26418.0]"
chicago,moderate,40,proportional,local/internal/random_forest,31050610.0,16143351.0,57986.0,"[2111802.0, 1081075.0, 1660403.0, 2208870.0, 13222138.0, 8459034.0, 2307288.0]"
chicago,moderate,40,greedy_ev_point,local/internal/random_forest,23558478.0,19557277.0,86017.0,"[17544.0, 5386975.0, 10187903.0, 30762.0, 349174.0, 7560476.0, 25644.0]"
chicago,moderate,40,proportional,local/internal/lgbm_point,31058160.0,16143351.0,57986.0,"[2112602.0, 1075075.0, 1664003.0, 2222820.0, 13208738.0, 8466134.0, 2308788.0]"
chicago,moderate,40,greedy_ev_point,local/internal/lgbm_point,22420938.0,18834136.0,81217.0,"[19316.0, 5081025.0, 10187903.0, 36207.0, 331530.0, 6736382.0, 28575.0]"
chicago,moderate,40,proportional,local/calendar/random_forest,31058360.0,16143351.0,57986.0,"[2113502.0, 1074275.0, 1663053.0, 2223120.0, 13223538.0, 8457034.0, 2303838.0]"
chicago,moderate,40,greedy_ev_point,local/calendar/random_forest,23516285.0,19506746.0,83478.0,"[17936.0, 5326975.0, 10187903.0, 29610.0, 346466.0, 7583992.0, 23403.0]"
chicago,moderate,40,proportional,local/calendar/lgbm_point,31049556.0,16138383.0,57968.0,"[2115902.0, 1082575.0, 1660803.0, 2226966.0, 13193938.0, 8447834.0, 2321538.0]"
chicago,moderate,40,greedy_ev_point,local/calendar/lgbm_point,21925018.0,18494305.0,76293.0,"[18392.0, 4897375.0, 10187903.0, 36705.0, 341022.0, 6415268.0, 28353.0]"
chicago,moderate,40,proportional,local/calendar_weather/ridge,31091760.0,16164051.0,58061.0,"[2121702.0, 1079475.0, 1662003.0, 2195970.0, 13231138.0, 8482034.0, 2319438.0]"
chicago,moderate,40,greedy_ev_point,local/calendar_weather/ridge,25316282.0,20602618.0,90178.0,"[19696.0, 5721975.0, 10187903.0, 35841.0, 397178.0, 8926758.0, 26931.0]"
chicago,moderate,40,proportional,local/calendar_weather/random_forest,31040310.0,16143351.0,57986.0,"[2115502.0, 1080425.0, 1661653.0, 2201670.0, 13222738.0, 8472934.0, 2285388.0]"
chicago,moderate,40,greedy_ev_point,local/calendar_weather/random_forest,23397977.0,19423104.0,82878.0,"[18018.0, 5276975.0, 10187903.0, 28845.0, 324614.0, 7540526.0, 21096.0]"
chicago,moderate,40,proportional,local/calendar_weather/lgbm_point,31055960.0,16143351.0,57986.0,"[2109802.0, 1082975.0, 1661503.0, 2215020.0, 13209838.0, 8450634.0, 2326188.0]"
chicago,moderate,40,greedy_ev_point,local/calendar_weather/lgbm_point,21884158.0,18470267.0,75378.0,"[18302.0, 4888875.0, 10187903.0, 36279.0, 318150.0, 6409722.0, 24927.0]"
chicago,moderate,40,proportional,global/calendar_weather/lgbm_point,31049910.0,16143351.0,57986.0,"[2110802.0, 1082525.0, 1661853.0, 2217120.0, 13212838.0, 8459134.0, 2305638.0]"
chicago,moderate,40,greedy_ev_point,global/calendar_weather/lgbm_point,21771184.0,18375503.0,75228.0,"[17348.0, 4811925.0, 10187903.0, 35925.0, 303336.0, 6390654.0, 24093.0]"
chicago,generous,49,uniform,uniform,67244290.0,33601106.0,209457.0,"[268.0, 0.0, 21779.0, 182814.0, 47630038.0, 19400634.0, 8757.0]"
chicago,generous,49,oracle,oracle,2922986.0,2662664.0,575.0,"[5834.0, 185933.0, 2219115.0, 3660.0, 106736.0, 397250.0, 4458.0]"
chicago,generous,49,greedy_ev_quantile,local/calendar_weather/lgbm_quantile,4023406.0,3691134.0,996.0,"[14796.0, 229651.0, 3144214.0, 30066.0, 167404.0, 422332.0, 14943.0]"
chicago,generous,49,proportional,local/internal/naive_trailing7,4539654.0,2330251.0,774.0,"[295760.0, 149497.0, 235372.0, 422445.0, 1941972.0, 1124990.0, 369618.0]"
chicago,generous,49,greedy_ev_point,local/internal/naive_trailing7,9819761.0,9134511.0,6583.0,"[17868.0, 1344794.0, 7123303.0, 32670.0, 265556.0, 1011732.0, 23838.0]"
chicago,generous,49,proportional,local/internal/seasonal_naive7,4643241.0,2385672.0,676.0,"[302892.0, 154335.0, 242216.0, 428514.0, 1987064.0, 1151390.0, 376830.0]"
chicago,generous,49,greedy_ev_point,local/internal/seasonal_naive7,7269984.0,6634451.0,991.0,"[12546.0, 576966.0, 5444629.0, 41133.0, 233550.0, 934262.0, 26898.0]"
chicago,generous,49,proportional,local/internal/ridge,4518260.0,2319668.0,763.0,"[294304.0, 147497.0, 234704.0, 418392.0, 1937732.0, 1120648.0, 364983.0]"
chicago,generous,49,greedy_ev_point,local/internal/ridge,6265046.0,5766867.0,1285.0,"[11248.0, 398897.0, 4887550.0, 32037.0, 176114.0, 737960.0, 21240.0]"
chicago,generous,49,proportional,local/internal/random_forest,4509709.0,2315887.0,757.0,"[291866.0, 148350.0, 233293.0, 418365.0, 1936390.0, 1121076.0, 360369.0]"
chicago,generous,49,greedy_ev_point,local/internal/random_forest,5396133.0,4976731.0,1193.0,"[10738.0, 330249.0, 4242357.0, 24072.0, 159238.0, 607720.0, 21759.0]"
chicago,generous,49,proportional,local/internal/lgbm_point,4502874.0,2310181.0,615.0,"[291942.0, 148007.0, 232104.0, 419793.0, 1929526.0, 1113426.0, 368076.0]"
chicago,generous,49,greedy_ev_point,local/internal/lgbm_point,4678514.0,4284513.0,1097.0,"[10830.0, 282005.0, 3626057.0, 29778.0, 151788.0, 555184.0, 22872.0]"
chicago,generous,49,proportional,local/calendar/random_forest,4506083.0,2314457.0,774.0,"[293506.0, 147626.0, 232939.0, 413076.0, 1936492.0, 1122318.0, 360126.0]"
chicago,generous,49,greedy_ev_point,local/calendar/random_forest,5186333.0,4771636.0,1158.0,"[9398.0, 322615.0, 4048492.0, 23280.0, 156714.0, 606610.0, 19224.0]"
chicago,generous,49,proportional,local/calendar/lgbm_point,4505215.0,2309807.0,613.0,"[290484.0, 147000.0, 234003.0, 429048.0, 1923140.0, 1110776.0, 370764.0]"
chicago,generous,49,greedy_ev_point,local/calendar/lgbm_point,4323623.0,3924819.0,1008.0,"[10304.0, 265442.0, 3278162.0, 29112.0, 154908.0, 562040.0, 23655.0]"
chicago,generous,49,proportional,local/calendar_weather/ridge,4547819.0,2335511.0,850.0,"[292734.0, 147910.0, 236132.0, 414543.0, 1958030.0, 1130496.0, 367974.0]"
